Reactions: R09254,R06632,R02673,R01303,R01298,R10136,R05273 | Compounds: C00082,C01179,C03198,C00633,C00156,C00230,C06672,C00755
Reactions: R09254,R02521,R02514,R07312,R02675,R01303,R01296,R10136,R05699 | Compounds: C00082,C01179,C00544,C00642,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R09539,R07710,R02489,R01297,R01296,R07668,R05699 | Compounds: C00082,C00146,C00805,C00628,C00530,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01293,R01296,R10136,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01298,R10136,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01299,R06851,R01630,R05274,R05699 | Compounds: C00082,C00146,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01303,R01298,R10136,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R10136,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01303,R01296,R07668,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R09254,R06632,R02673,R01293,R01296,R07668,R05273 | Compounds: C00082,C01179,C03198,C00633,C00156,C00230,C06672,C00755
Reactions: R09254,R06632,R02673,R01293,R01296,R10136,R05273 | Compounds: C00082,C01179,C03198,C00633,C00156,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R05274,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01297,R06851,R01630,R10136,R05699 | Compounds: C00082,C00146,C00156,C00530,C02814,C00230,C06672,C00755
